lambda, n, k
206.600, 1.125, 1.270
213.800, 1.173, 1.290
221.400, 1.208, 1.300
229.600, 1.238, 1.310
238.400, 1.265, 1.330
248.000, 1.298, 1.350
253.000, 1.320, 1.350
258.300, 1.343, 1.350
263.800, 1.372, 1.350
269.500, 1.404, 1.330
275.500, 1.441, 1.310
281.800, 1.476, 1.260
288.300, 1.502, 1.190
295.200, 1.519, 1.080
298.800, 1.522, 0.992
302.400, 1.496, 0.882
306.100, 1.432, 0.766
310.000, 1.323, 0.647
311.500, 1.246, 0.586
313.900, 1.149, 0.540
315.500, 1.044, 0.514
317.900, 0.932, 0.504
319.500, 0.815, 0.526
322.000, 0.708, 0.565
323.700, 0.616, 0.609
326.300, 0.526, 0.663
330.600, 0.371, 0.813
332.400, 0.321, 0.902
335.100, 0.294, 0.986
339.700, 0.259, 1.120
344.400, 0.238, 1.240
354.200, 0.209, 1.440
364.700, 0.186, 1.610
375.700, 0.200, 1.670
387.500, 0.192, 1.810
400.000, 0.173, 1.950
413.300, 0.173, 2.110
427.500, 0.160, 2.260
442.800, 0.157, 2.400
459.200, 0.144, 2.560
476.900, 0.132, 2.720
495.900, 0.130, 2.880
516.600, 0.130, 3.070
539.100, 0.129, 3.250
563.600, 0.120, 3.450
590.400, 0.121, 3.660
619.600, 0.131, 3.880
652.600, 0.140, 4.150
688.800, 0.140, 4.440
729.300, 0.148, 4.740
774.900, 0.143, 5.090
826.600, 0.145, 5.500
885.600, 0.163, 5.950
953.700, 0.198, 6.430
1033.000, 0.226, 6.990
1127.000, 0.251, 7.670
1240.000, 0.329, 8.490
1348, 0.401, 8.21
1409, 0.421, 8.37
1476, 0.442, 8.88
1675, 0.519, 10.1
1823, 0.578, 11.1
1937, 0.624, 11.8
2138, 0.729, 13
2583, 1.007, 15.7
3100, 1.387, 18.8
3647, 1.915, 22.1
4428, 2.786, 26.9
5636, 4.425, 34
6199, 5.355, 37 
6526, 5.96, 38.6
6888, 6.67, 40.4
7293, 7.461, 42.5
7749, 8.376, 44.8
8266, 9.411, 47.1
8856, 10.69, 49.4
9537, 12.21, 52.2
9919, 13.11, 53.7
