lambda, n, k
300.00, 2.23436, 0.65260
305.00, 2.17711, 0.59063
310.00, 2.13096, 0.55880
315.00, 2.07838, 0.54804
320.00, 2.00551, 0.56363
325.00, 1.97493, 0.61276
330.00, 1.98800, 0.72872
335.00, 2.05499, 0.80178
340.00, 2.17822, 0.85633
345.00, 2.26961, 0.88099
350.00, 2.40613, 0.82526
355.00, 2.45447, 0.71859
360.00, 2.47442, 0.59095
365.00, 2.47305, 0.51042
370.00, 2.46000, 0.42478
375.00, 2.42836, 0.36948
380.00, 2.38884, 0.33253
385.00, 2.34915, 0.30907
390.00, 2.31091, 0.29052
395.00, 2.27352, 0.27878
400.00, 2.25047, 0.27795
405.00, 2.22769, 0.27712
410.00, 2.21740, 0.28115
415.00, 2.20711, 0.29067
420.00, 2.19972, 0.29965
425.00, 2.19535, 0.30664
430.00, 2.19647, 0.31362
435.00, 2.20161, 0.31972
440.00, 2.20674, 0.32055
445.00, 2.21552, 0.32138
450.00, 2.22785, 0.31978
455.00, 2.24019, 0.31354
460.00, 2.25253, 0.30731
465.00, 2.26042, 0.29937
470.00, 2.26734, 0.28686
475.00, 2.27426, 0.27435
480.00, 2.28117, 0.26091
485.00, 2.28888, 0.24727
490.00, 2.29665, 0.23108
495.00, 2.30442, 0.21291
500.00, 2.30701, 0.19454
505.00, 2.30590, 0.17603
510.00, 2.30479, 0.15795
515.00, 2.30177, 0.14008
520.00, 2.29261, 0.12200
525.00, 2.28345, 0.10384
530.00, 2.27430, 0.08783
535.00, 2.26007, 0.07269
540.00, 2.24524, 0.06345
545.00, 2.23093, 0.05947
550.00, 2.21691, 0.06000
555.00, 2.20529, 0.05674
560.00, 2.19653, 0.05416
565.00, 2.18777, 0.05202
570.00, 2.18000, 0.05021
575.00, 2.17385, 0.04854
580.00, 2.16769, 0.04723
585.00, 2.16154, 0.04600
590.00, 2.15824, 0.04495
595.00, 2.15583, 0.04469
600.00, 2.15341, 0.04443
605.00, 2.15267, 0.04416
610.00, 2.15267, 0.04366
615.00, 2.15267, 0.04310
620.00, 2.14999, 0.04117
625.00, 2.14568, 0.03726
630.00, 2.14137, 0.03236
635.00, 2.13554, 0.02848
640.00, 2.12938, 0.02500
645.00, 2.12322, 0.02217
650.00, 2.11765, 0.01929
655.00, 2.11435, 0.01622
660.00, 2.11105, 0.01413
665.00, 2.10775, 0.01269
670.00, 2.10445, 0.01142
675.00, 2.10113, 0.01036
680.00, 2.09778, 0.00930
685.00, 2.09443, 0.00755
690.00, 2.09109, 0.00564
695.00, 2.08774, 0.00415
700.00, 2.08510, 0.00271
705.00, 2.08247, 0.00175
710.00, 2.07984, 0.00096
715.00, 2.07721, 0.00040
720.00, 2.07376, 0.00026
725.00, 2.07005, 0.00013
730.00, 2.06635, 0.00000
735.00, 2.06264, 0.00000
740.00, 2.05893, 0.00000
745.00, 2.05669, 0.00000
750.00, 2.05591, 0.00000
755.00, 2.05513, 0.00000
760.00, 2.05436, 0.00000
765.00, 2.05358, 0.00000
770.00, 2.05155, 0.00000
775.00, 2.04904, 0.00000
780.00, 2.04653, 0.00000
785.00, 2.04402, 0.00000
790.00, 2.04179, 0.00000
795.00, 2.04023, 0.00000
800.00, 2.03868, 0.00000
805.00, 2.03712, 0.00000
810.00, 2.03557, 0.00000
815.00, 2.03438, 0.00000
820.00, 2.03354, 0.00000
825.00, 2.03271, 0.00000
830.00, 2.03187, 0.00000
835.00, 2.03104, 0.00000
840.00, 2.03025, 0.00000
845.00, 2.02946, 0.00000
850.00, 2.02867, 0.00000
855.00, 2.02788, 0.00000
860.00, 2.02710, 0.00000
865.00, 2.02632, 0.00000
870.00, 2.02555, 0.00000
875.00, 2.02477, 0.00000
880.00, 2.02399, 0.00000
885.00, 2.02306, 0.00000
890.00, 2.02201, 0.00000
895.00, 2.02097, 0.00000
900.00, 2.01992, 0.00000
905.00, 2.01992, 0.00000
910.00, 2.01992, 0.00000
915.00, 2.01992, 0.00000
920.00, 2.01992, 0.00000
925.00, 2.01992, 0.00000
930.00, 2.01992, 0.00000
935.00, 2.01992, 0.00000
940.00, 2.01992, 0.00000
945.00, 2.01992, 0.00000
950.00, 2.01992, 0.00000
955.00, 2.01992, 0.00000
960.00, 2.01992, 0.00000
965.00, 2.01992, 0.00000
970.00, 2.01992, 0.00000
975.00, 2.01992, 0.00000
980.00, 2.01992, 0.00000
985.00, 2.01992, 0.00000
990.00, 2.01992, 0.00000
995.00, 2.01992, 0.00000
1000.00, 2.01992, 0.00000
