lambda, n, k
300.00, 1.87425, 0.37369
305.00, 1.88143, 0.42655
310.00, 1.90802, 0.47675
315.00, 1.95210, 0.53540
320.00, 2.03289, 0.60158
325.00, 2.09636, 0.63357
330.00, 2.16620, 0.65495
335.00, 2.23768, 0.65684
340.00, 2.30487, 0.64723
345.00, 2.36972, 0.62642
350.00, 2.43747, 0.58905
355.00, 2.49933, 0.54532
360.00, 2.55666, 0.47161
365.00, 2.61430, 0.39602
370.00, 2.66651, 0.33352
375.00, 2.68573, 0.25643
380.00, 2.67433, 0.19080
385.00, 2.64014, 0.15160
390.00, 2.59189, 0.11449
395.00, 2.53312, 0.08932
400.00, 2.47764, 0.06727
405.00, 2.41667, 0.05878
410.00, 2.35983, 0.05128
415.00, 2.30772, 0.04445
420.00, 2.26324, 0.04086
425.00, 2.22484, 0.03728
430.00, 2.18802, 0.03359
435.00, 2.15447, 0.02974
440.00, 2.12146, 0.02589
445.00, 2.08900, 0.02010
450.00, 2.05681, 0.01325
455.00, 2.02362, 0.00640
460.00, 1.99280, 0.00318
465.00, 1.96613, 0.00185
470.00, 1.93855, 0.00051
475.00, 1.91271, 0.00000
480.00, 1.88871, 0.00000
485.00, 1.86557, 0.00000
490.00, 1.84401, 0.00114
495.00, 1.82082, 0.00759
500.00, 1.79974, 0.01405
505.00, 1.77759, 0.02051
510.00, 1.75913, 0.02979
515.00, 1.74215, 0.04175
520.00, 1.72703, 0.05372
525.00, 1.71562, 0.07132
530.00, 1.70856, 0.09080
535.00, 1.70653, 0.12053
540.00, 1.70825, 0.16337
545.00, 1.71885, 0.21153
550.00, 1.73518, 0.26452
555.00, 1.76100, 0.33695
560.00, 1.79487, 0.44672
565.00, 1.83183, 0.51530
570.00, 1.87065, 0.60553
575.00, 1.90585, 0.68559
580.00, 1.93921, 0.73342
585.00, 1.97000, 0.77456
590.00, 1.99635, 0.80946
595.00, 2.02577, 0.85018
600.00, 2.05591, 0.89859
605.00, 2.08889, 0.93262
610.00, 2.12852, 0.96419
615.00, 2.16930, 0.96931
620.00, 2.21319, 0.97077
625.00, 2.25764, 0.94952
630.00, 2.30148, 0.90139
635.00, 2.33064, 0.82926
640.00, 2.34998, 0.75635
645.00, 2.35566, 0.69385
650.00, 2.34630, 0.64846
655.00, 2.32470, 0.61407
660.00, 2.30307, 0.58808
665.00, 2.28168, 0.56412
670.00, 2.26863, 0.57416
675.00, 2.27226, 0.58620
680.00, 2.29315, 0.61465
685.00, 2.32847, 0.65259
690.00, 2.37236, 0.66698
695.00, 2.42422, 0.67448
700.00, 2.47431, 0.66608
705.00, 2.51877, 0.63919
710.00, 2.55723, 0.60880
715.00, 2.59051, 0.57381
720.00, 2.61283, 0.53815
725.00, 2.63331, 0.49764
730.00, 2.65090, 0.45701
735.00, 2.65872, 0.41314
740.00, 2.65828, 0.36927
745.00, 2.65596, 0.30829
750.00, 2.63788, 0.24081
755.00, 2.61005, 0.20452
760.00, 2.58429, 0.17311
765.00, 2.55359, 0.14069
770.00, 2.52043, 0.10746
775.00, 2.49098, 0.07983
780.00, 2.46055, 0.06536
785.00, 2.43085, 0.05088
790.00, 2.40377, 0.03663
795.00, 2.37931, 0.02986
800.00, 2.35267, 0.02309
805.00, 2.32856, 0.01732
810.00, 2.30689, 0.01155
815.00, 2.28900, 0.00577
820.00, 2.26790, 0.00000
825.00, 2.25189, 0.00000
830.00, 2.23096, 0.00000
835.00, 2.21403, 0.00000
840.00, 2.19769, 0.00000
845.00, 2.18201, 0.00000
850.00, 2.16667, 0.00000
855.00, 2.15183, 0.00000
860.00, 2.13331, 0.00000
865.00, 2.11802, 0.00000
870.00, 2.10301, 0.00000
875.00, 2.08997, 0.00000
880.00, 2.07938, 0.00000
885.00, 2.06139, 0.00000
890.00, 2.05536, 0.00000
895.00, 2.05198, 0.00000
900.00, 2.04037, 0.00000
905.00, 2.04037, 0.00000
910.00, 2.04037, 0.00000
915.00, 2.04037, 0.00000
920.00, 2.04037, 0.00000
925.00, 2.04037, 0.00000
930.00, 2.04037, 0.00000
935.00, 2.04037, 0.00000
940.00, 2.04037, 0.00000
945.00, 2.04037, 0.00000
950.00, 2.04037, 0.00000
955.00, 2.04037, 0.00000
960.00, 2.04037, 0.00000
965.00, 2.04037, 0.00000
970.00, 2.04037, 0.00000
975.00, 2.04037, 0.00000
980.00, 2.04037, 0.00000
985.00, 2.04037, 0.00000
990.00, 2.04037, 0.00000
995.00, 2.04037, 0.00000
1000.00, 2.04037, 0.00000
